species,id,height_low,height_high,flowerheads_per_plant,floweringstems_per_plant,plant_northing,plant_easting
ARTFRI,181,17.5,43.5,1830,38,5192284.007,692627.192
ARTFRI,182,24,44.5,70,18,5192284.19,692628.644
ARTFRI,183,9,23,220,4,5192284.242,692626.596
ARTFRI,184,23.5,28,20,1,5192284.73,692624.566
ARTFRI,185,22,42.5,120,4,5192284.295,692602.503
ARTFRI,186,13,44,810,28,5192286.008,692601.891
ARTFRI,187,32,53,1030,21,5192287.324,692602.902
ARTFRI,e1,12,23,90,3,5192285.636,692602.59
ARTFRI,e2,11.5,19,50,1,5192281.601,692608.129
ARTFRI,191,8,45,670,39,5192282.522,692638.689
ARTFRI,192,19.5,34,1070,43,5192282.943,692638.154
ARTFRI,193,17,28,100,4,5192290.834,692622.01
ARTFRI,194,9,35,980,24,5192290.529,692622.354
ARTFRI,195,18.5,35,760,23,5192290.122,692636.472
ARTFRI,196,14.5,50,1520,15,5192290.224,692635.774
